RIVER_NAME,RIVER_TYPE,RIVER_CODE,RIVER_FROM
新店溪,"1","114020110",淡水河
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
雙溪,"2","262000210",
灰窯溪,"5",,
灰窯溪,"5",,
灰窯溪,"5",,
灰窯溪,"5",,
灰窯溪,"5",,
三坑溪,"5",,
三坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
啞口坑溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
塔寮溪,"5",,
