ID,Debrisno,Area_ha,Centroid_X,Centroid_Y,Debrisno_o
505,桃市DF026,29.51,286034,2744844,桃縣DF026
506,桃市DF050,58.8,287978,2745836,桃縣DF050
507,桃市DF051,67.28,287544,2745487,桃縣DF051
508,桃市DF030,340.54,283584,2739407,桃縣DF030
509,桃市DF031,53.35,284567,2738666,桃縣DF031
510,桃市DF032,100.96,284924,2740389,桃縣DF032
511,桃市DF033,94.16,285898,2741777,桃縣DF033
512,桃市DF034,28.9,287165,2744886,桃縣DF034
513,桃市DF010,31.14,289689,2769113,桃縣DF010
514,桃市DF001,56.32,288034,2764130,桃縣DF001
